PG.ProteinGroups,cancer,control
P01706,2,2
P01714,3,3
P01717,4,4
P01742,3,3
P01764,2,2
P01766,2,2
P01768;P0DP03,4,4
P01780,3,3
P01782;P0DP04,3,3
P01817,4,4
P01833,25,24
P01834,2,2
P01859,7,7
P01860,8,8
P01861,5,5
P01871,6,6
P01876,13,13
P01880,8,8
P01889,11,11
P01903,4,4
P02042,3,3
P02452,4,4
P02533,16,16
P02545,11,11
P02549,49,49
P02585,7,7
P02647,33,33
P02649,27,27
P02652,8,8
P02654,4,4
P02655,7,7
P02656,12,12
P02671,83,83
P02675,56,56
P02679,48,48
P02686,4,4
P02730,14,14
P02741,14,12
P02743,6,6
P02745,8,8
P02746,7,8
P02747,9,9
P02748,22,22
P02749,17,17
P02750,7,7
P02751,83,84
P02753,9,9
P02760,16,16
P02763,8,8
P02765,8,8
P02766,9,9
P02768,63,63
P02774,23,23
P02775,7,8
P02776,2,2
P02778,2,2
P02786,27,27
P02787,38,39
P02788,33,32
P02790,20,20
P02792,3,3
P02794,5,5
P02818,4,4
P03905,5,5
P03950,7,7
P03951,18,18
P03952,22,22
P03956,18,18
P03973,3,4
P04003,40,40
P04004,40,40
P04040,23,23
P04062,3,3
P04066,10,10
P04070,20,21
P04075,22,22
P04080,2,2
P04083,6,6
P04114,208,211
P04156,4,4
P04179,11,11
P04180,6,6
P04196,20,20
P04217,13,13
P04233,4,4
P04259,17,16
P04264,19,20
P04271,2,2
P04275,118,118
P04278,17,17
P04406,22,22
P04424,9,9
P04430,2,2
P04433,3,3
P04439,15,15
P04632,12,12
P04792,10,10
P04839,10,10
P04843,27,27
P04844,22,22
P04899,18,18
P04920,7,7
P05019,5,5
P05023,26,26
P05060,30,30
P05062,3,0
P05067,23,23
P05090,7,7
P05106,33,33
P05107,18,18
P05109,4,4
P05121,16,16
P05141,13,13
P05154,17,18
P05155,25,25
P05156,15,15
P05160,21,21
P05164,27,24
P05165,15,16
P05166,14,14
P05198,11,11
P05362,5,5
P05386,3,3
P05387,4,4
P05388,10,9
P05408,2,2
P05452,10,10
P05543,10,10
P05546,17,17
P05556,27,27
P05771,13,13
P05787,5,5
P05976,7,7
P06132,8,8
P06239,5,5
P06241,12,12
P06276,4,4
P06280,14,13
P06310,3,4
P06312,4,3
P06331,3,3
P06396,32,33
P06576,23,23
P06681,18,18
P06702,5,5
P06727,36,36
P06730,4,4
P06733,17,17
P06734,8,8
P06737,21,21
P06744,15,16
P06748,4,4
P06753,12,12
P06756,22,22
P06858,14,14
P06865,17,17
P07093,14,14
P07099,5,5
P07108,2,2
P07195,13,13
P07203,14,14
P07225,41,41
P07237,24,24
P07306,10,10
P07307,8,8
P07332,12,11
P07339,12,12
P07355,12,11
P07357,17,17
P07358,20,20
P07359,16,16
P07360,8,8
P07384,39,39
P07437,6,6
P07477,5,5
P07478,3,3
P07585,7,7
P07602,7,7
P07686,12,12
P07711,11,11
P07737,8,8
P07741,7,7
P07814,22,21
P07858,12,12
P07900,20,20
P07910,7,7
P07942,46,46
P07947,15,15
P07948,21,21
P07951,11,11
P07954,14,14
P07988,7,0
P07996,71,71
P07998,6,6
P08123,5,5
P08133,12,12
P08174,8,8
P08185,7,7
P08195,8,8
P08236,5,5
P08237,9,9
P08238,29,30
P08240,12,12
P08253,27,28
P08254,11,11
P08294,11,11
P08311,4,4
P08319,19,19
P08397,3,0
P08493,2,2
P08514,45,45
P08519,36,36
P08559,11,11
P08567,18,18
P08571,13,13
P08574,8,8
P08575,27,27
P08590,11,11
P08603,49,49
P08631,3,3
P08648,14,14
P08670,22,23
P08697,14,14
P08708,4,4
P08709,18,18
P08727,5,0
P08754,5,5
P08758,12,13
P08833,8,8
P08865,10,10
P08962,3,3
P09104,15,15
P09110,11,11
P09172,5,5
P09211,12,12
P09237,7,7
P09238,8,8
P09382,4,4
P09417,6,6
P09429,7,7
P09455,8,8
P09466,5,5
P09486,14,14
P09488,7,8
P09493,5,5
P09496,8,8
P09497,7,7
P09529,4,4
P09543,9,9
P09603,9,9
P09619,3,3
P09622,12,12
P09651,8,8
P09681,6,7
P09769,4,4
P09871,44,44
P09960,18,17
P0C0L4,101,101
P0C0L5,7,7
P0C0S5;Q71UI9,2,0
P0C7M8,5,5
P0C7P3,25,25
P0CG39,4,4
P0CG47;P0CG48;P62979;P62987,4,4
P0DI81;P0DI82,4,4
P0DJI8,6,6
P0DJI9,13,11
P0DMM9;P0DMN0,10,10
P0DMV8;P0DMV9,23,24
P0DOX2,14,14
P0DOX3,4,4
P0DOX5,16,16
P0DOX6,23,23
P0DOX7,9,9
P0DOY2;P0DOY3,4,4
P0DP23;P0DP24;P0DP25,8,8
P10114,8,8
P10124,5,5
P10155,16,16
P10253,7,8
P10301,5,5
P10321,6,6
P10398,9,9
P10412,3,3
P10451,13,13
P10515,8,8
P10586,6,6
P10599,4,4
P10606,6,6
P10619,8,8
P10620,4,4
P10643,25,25
P10644,13,13
P10645,32,32
P10646,11,11
P10720,5,5
P10768,9,9
P10809,25,25
P10909,28,28
P10915,3,3
P10916,6,6
P11021,26,26
P11047,53,52
P11049,2,3
P11142,18,18
P11150,10,10
P11166,6,6
P11169,8,8
P11171,13,13
P11172,8,8
P11177,10,10
P11182,9,9
P11215,31,26
P11216,30,31
P11226,8,8
P11233,4,4
P11234,4,4
P11274,13,13
P11277,70,70
P11279,3,3
P11310,13,13
P11362,6,6
P11413,24,25
P11441,4,4
P11586,30,30
P11597,20,20
P11678,12,10
P11766,9,9
P11836,4,5
P11908,11,11
P11940,11,11
P12074,2,2
P12081,11,10
P12109,17,17
P12110,12,12
P12111,68,67
P12236,6,6
P12259,84,84
P12268,7,7
P12277,7,7
P12429,14,14
P12814,61,61
P12829,4,4
P12830,15,14
P12931,17,17
P12955,9,9
P12956,17,17
P13010,15,15
P13073,6,6
P13224,4,4
P13473,4,4
P13489,17,17
P13497,31,32
P13501,2,2
P13521,20,19
P13591,23,23
P13598,5,5
P13611,30,29
P13612,6,6
P13639,13,13
P13645,24,24
P13647,9,10
P13667,30,30
P13671,24,24
P13674,9,9
P13686,2,2
P13693,6,6
P13716,13,13
P13727,12,12
P13747,7,8
P13796,20,20
P13797,11,11
P13798,14,15
P13804,13,13
P13805,6,6
P13807,12,12
P13861,13,12
P13929,14,14
P13987,3,3
P14151,4,4
P14174,2,2
P14209,4,4
P14314,22,22
P14317,12,12
P14324,9,10
P14406,2,2
P14543,61,61
P14550,5,5
P14555,4,4
P14618,27,27
P14625,41,41
P14649,5,5
P14735,11,11
P14770,6,6
P14780,17,15
P14854,5,5
P14866,6,6
P14868,24,24
P14927,3,3
P15085,5,4
P15121,9,9
P15144,13,13
P15153,3,3
P15169,27,27
P15170,22,22
P15291,6,7
P15311,7,7
P15498,20,20
P15502,5,5
P15529,5,5
P15531,5,5
P15586,7,7
P15880,5,5
P15907,10,10
P15954,2,2
P16035,5,5
P16070,9,9
P16083,4,4
P16104,4,0
P16109,23,23
P16112,25,25
P16152,9,9
P16157,59,59
P16219,12,12
P16233,9,9
P16278,13,14
P16284,31,32
P16298,11,11
P16333,6,6
P16401,3,3
P16452,4,4
P16519,5,5
P16591,12,13
P16615,33,33
P16671,10,10
P16870,8,7
P16871,6,6
P16885,32,33
P16930,8,8
P17050,5,5
P17252,23,23
P17301,29,29
P17612,2,2
P17655,32,32
P17812,15,16
P17813,4,5
P17858,25,25
P17927,10,10
P17936,13,13
P17980,14,14
P17987,24,25
P18031,14,14
P18054,25,26
P18065,14,14
P18084,15,15
P18085,6,5
P18124,6,5
P18206,61,61
P18428,14,14
P18433,23,23
P18440,3,3
P18621,4,4
P18669,11,11
P18827,3,3
P18859,5,5
P19021,25,25
P19022,9,8
P19086,14,14
P19105,14,14
P19320,12,12
P19338,10,9
P19367,37,37
P19404,5,5
P19474,7,7
P19525,11,11
P19623,4,4
P19634,10,10
P19652,9,9
P19784,11,11
P19823,33,33
P19827,41,41
P19838,11,11
P19875,3,3
P19883,7,7
P19971,14,14
P20042,15,15
P20062,5,5
P20073,12,12
P20338,6,6
P20339,6,6
P20340,10,10
P20618,7,7
P20645,3,3
P20674,6,6
P20700,9,7
P20701,5,5
P20742,33,32
P20774,7,7
P20810,9,9
P20851,11,11
P20908,6,6
P20936,18,19
P20962,3,3
P20963,2,2
P21266,10,11
P21281,17,17
P21283,8,7
P21291,9,10
P21333,148,148
P21399,14,14
P21730,2,2
P21741,4,3
P21796,13,13
P21810,12,12
P21912,8,8
P21926,4,4
P21964,14,14
P21980,6,6
P22033,10,10
P22059,13,13
P22061,9,9
P22102,16,16
P22105,86,87
P22223,10,11
P22234,11,11
P22307,6,6
P22314,25,26
P22352,8,8
P22392,10,10
P22466,4,4
P22626,4,0
P22681,8,8
P22692,13,13
P22694,15,15
P22695,14,14
P22792,12,12
P22891,15,15
P23083,4,4
P23141,7,7
P23142,25,25
P23219,18,18
P23229,36,35
P23258,14,15
P23284,6,6
P23327,6,6
P23368,24,24
P23381,19,19
P23396,5,5
P23434,2,2
P23458,19,19
P23467,15,15
P23470,8,8
P23471,18,18
P23526,7,7
P23528,10,10
P23560,4,4
P23588,11,11
P23634,10,10
P23743,15,15
P23786,14,15
P24043,97,97
P24298,5,0
P24387,7,7
P24534,7,7
P24539,9,9
P24557,23,23
P24592,8,8
P24593,14,14
P24666,8,8
P24752,11,11
P24821,56,56
P24844,6,6
P24855,4,4
P25098,7,7
P25311,12,12
P25325,11,11
P25398,5,5
P25685,6,6
P25686,6,6
P25705,23,23
P25774,5,5
P25786,10,10
P25787,7,7
P25788,6,6
P25789,7,7
P25942,2,2
P26022,13,13
P26038,22,22
P26196,15,15
P26368,5,5
P26440,11,11
P26572,11,11
P26583,3,3
P26599,13,13
P26639,23,23
P26640,24,24
P26641,13,13
P26885,2,2
P26927,15,16
P27105,13,13
P27169,24,25
P27338,20,20
P27348,10,10
P27361,9,9
P27482,4,4
P27701,4,4
P27707,4,4
P27708,34,34
P27797,22,22
P27816,13,13
P27824,31,31
P27918,6,6
P27986,13,13
P27987,18,18
P28062,6,6
P28065,5,5
P28066,7,7
P28070,7,7
P28074,4,4
P28161,8,8
P28290,11,11
P28300,5,5
P28331,20,20
P28482,8,8
P28676,6,6
P28799,7,7
P28838,22,22
P29120,14,11
P29122,26,26
P29144,41,41
P29218,7,7
P29279,14,15
P29350,26,27
P29401,15,15
P29622,17,17
P29692,14,14
P29965,4,4
P29966,6,6
P29992,7,7
P30038,8,8
P30039,7,7
P30040,8,8
P30041,13,13
P30043,11,11
P30044,8,8
P30048,8,8
P30049,3,3
P30050,4,4
P30084,9,9
P30085,6,6
P30086,6,6
P30101,25,25
P30153,25,25
P30260,5,5
P30273,2,2
P30405,4,4
P30419,11,11
P30530,5,5
P30566,17,17
P30622,40,40
P30626,6,6
P30740,15,15
P30990,3,3
P31040,19,20
P31146,14,14
P31150,16,16
P31321,6,6
P31323,18,18
P31327,23,22
P31431,5,5
P31483,4,4
P31645,4,4
P31689,13,13
P31749,7,7
P31751,8,8
P31930,16,16
P31939,22,22
P31942,6,6
P31943,9,9
P31946,13,12
P31947,3,0
P31948,20,21
P32019,21,21
P32119,7,8
P32189,10,11
P32942,4,4
P32969,3,3
P33121,7,7
P33151,11,11
P33176,34,34
P33241,9,9
P33316,7,7
P33527,31,31
P33908,26,26
P34096,8,8
P34896,7,7
P34897,13,13
P34913,12,12
P34932,27,27
P34947,8,8
P34949,9,9
P35030,3,5
P35052,15,15
P35221,7,7
P35222,13,13
P35232,12,12
P35237,16,16
P35241,14,14
P35244,4,4
P35247,5,5
P35268,3,3
P35442,38,38
P35443,42,42
P35527,17,17
P35542,3,3
P35555,62,62
P35558,9,8
P35573,15,15
P35579,110,111
P35580,19,19
P35606,34,34
P35611,23,22
P35613,7,7
P35625,7,8
P35637,5,5
P35659,4,0
P35749,26,26
P35813,15,15
P35858,22,22
P35908,18,18
P35914,11,11
P35998,15,15
P36222,8,6
P36404,4,4
P36507,4,4
P36542,7,7
P36543,8,8
P36551,8,9
P36578,7,7
P36776,15,15
P36871,18,19
P36873,2,2
P36915,12,12
P36955,16,16
P36957,9,9
P36959,14,14
P36969,8,8
P36980,4,4
P37235,9,9
P37802,15,15
P37837,7,7
P37840,4,4
P38117,9,10
P38571,5,5
P38606,21,21
P38646,23,23
P39019,4,4
P39023,3,3
P39059,9,9
P39060,15,16
P39656,14,14
P39687,8,8
P40121,3,3
P40197,20,21
P40227,17,17
P40616,7,7
P40763,22,22
P40855,4,4
P40925,6,6
P40926,15,15
P40939,30,30
P40967,6,6
P41091,14,14
P41159,7,7
P41214,4,4
P41218,12,9
P41222,4,4
P41226,28,28
P41227,3,3
P41236,4,4
P41240,17,17
P41250,17,17
P41252,15,15
P42025,5,5
P42126,5,5
P42166;P42167,2,2
P42224,22,23
P42229,17,17
P42338,14,14
P42345,16,16
P42356,32,33
P42566,24,24
P42574,9,9
P42680,18,18
P42704,27,27
P42765,7,7
P42768,11,11
P42785,6,6
P42858,35,35
P42892,19,19
P42898,10,10
P43034,11,12
P43155,12,12
P43243,4,4
P43250,9,9
P43251,10,10
P43304,32,33
P43307,4,4
P43405,22,23
P43487,6,6
P43490,17,17
P43652,13,14
P43686,8,8
P45880,9,9
P45954,11,12
P45974,26,26
P45985,4,4
P46060,20,20
P46109,11,11
P46379,10,10
P46459,26,26
P46531,5,5
P46734,6,6
P46777,6,6
P46781,2,2
P46783,2,2
P46821,24,24
P46939,71,71
P46940,30,30
P46976,7,7
P46977,13,13
P47712,19,19
P47755,11,11
P47756,13,13
P47897,14,15
P47985,7,8
P48047,8,8
P48059,15,15
P48061,3,3
P48147,16,16
P48163,10,10
P48426,16,16
P48444,19,20
P48449,14,14
P48506,9,9
P48507,8,8
P48509,3,3
P48556,7,8
P48643,25,25
P48681,11,10
P48735,18,18
P48736,16,16
P48740,27,27
P48960,6,6
P49006,2,2
P49137,12,12
P49189,11,11
P49247,4,5
P49257,13,13
P49327,68,69
P49356,6,6
P49368,24,24
P49407,15,15
P49411,20,20
P49588,29,29
P49589,8,10
P49591,20,20
P49593,17,17
P49619,20,19
P49641,18,18
P49662,7,7
P49720,7,7
P49721,5,5
P49746,23,23
P49747,38,38
P49748,27,27
P49754,17,17
P49755,9,9
P49757,9,9
P49758,9,9
P49767,9,9
P49773,5,5
P49788,3,3
P49821,13,13
P49841,10,10
P49902,13,15
P49908,7,7
P49913,8,8
P49915,9,10
P49959,4,4
P50148,11,11
P50151,3,3
P50213,11,11
P50225,14,14
P50238,3,3
P50281,3,3
P50395,29,29
P50402,11,11
P50416,28,28
P50440,12,12
P50453,15,15
P50454,12,12
P50461,2,2
P50502,6,6
P50552,20,20
P50570,23,23
P50579,11,11
P50583,7,7
P50851,67,67
P50897,5,5
P50990,34,35
P50991,22,22
P50995,14,14
P51148,11,11
P51149,12,12
P51151,4,4
P51153,6,6
P51452,8,8
P51511,2,2
P51553,6,6
P51570,11,12
P51571,5,5
P51572,8,8
P51575,10,10
P51606,6,6
P51659,29,29
P51665,9,9
P51692,11,11
P51693,8,8
P51790,9,9
P51793,10,10
P51809,8,8
P51812,19,19
P51858,10,10
P51884,11,11
P51888,3,3
P51911,3,3
P51991,9,9
P52209,18,18
P52294,4,4
P52306,16,16
P52333,19,20
P52565,4,4
P52566,9,8
P52594,4,4
P52597,5,5
P52630,8,8
P52788,11,11
P52815,3,3
P52888,13,13
P52907,11,11
P52943,6,6
P53004,9,9
P53007,6,6
P53041,6,6
P53396,29,29
P53582,14,14
P53597,6,6
P53602,5,5
P53618,37,37
P53621,38,39
P53634,12,12
P53675,16,17
P53680,3,4
P53814,18,19
P53990,9,10
P53992,13,13
P53999,3,3
P54136,21,21
P54252,4,5
P54315,8,8
P54577,22,22
P54578,10,10
P54619,13,13
P54652,10,10
P54687,3,3
P54709,7,7
P54725,3,3
P54727,5,5
P54803,10,10
P54819,12,12
P54826,4,4
P54886,9,9
P54920,19,19
P54922,5,5
P55010,12,12
P55036,8,8
P55039,9,9
P55056,6,6
P55058,12,12
P55060,16,16
P55072,48,48
P55084,16,16
P55103,3,3
P55145,8,8
P55157,22,22
P55160,27,27
P55209,9,9
P55212,8,8
P55268,48,48
P55285,15,15
P55287,16,16
P55290,11,11
P55291,15,15
P55327,5,5
P55735,5,5
P55774,2,2
P55786,33,33
P55795,3,3
P55809,14,14
P55884,27,27
P55899,3,3
P55957,6,6
P56134,3,3
P56192,16,16
P56202,7,7
P56377,4,4
P56385,4,4
P56537,3,3
P56962,5,5
P57057,5,5
P57088,8,8
P57729,7,7
P57737,7,7
P57764,6,6
P58166,11,11
P58215,8,8
P58546,6,6
P59665;P59666,3,3
P59768,2,2
P59998,7,7
P60033,3,3
P60174,11,11
P60228,12,12
P60520,4,4
P60604,2,2
P60660,7,7
P60709;P63261,15,15
P60763,6,6
P60842,14,14
P60891,3,3
P60900,8,8
P60903,3,3
P60953,9,9
P60981,12,12
P60983,5,5
P60985,2,2
P61006,6,6
P61009,3,3
P61018,6,6
P61019,9,9
P61020,6,6
P61026,7,7
P61077;P62837,3,3
P61081,6,6
P61086,5,5
P61088,6,6
P61106,12,12
P61158,20,20
P61160,14,14
P61163,14,14
P61201,12,13
P61204;P84077,6,6
P61221,12,13
P61224,14,14
P61225,5,5
P61247,3,3
P61421,11,11
P61586,9,9
P61604,3,3
P61619,7,7
P61626,5,5
P61758,4,4
P61764,8,8
P61769,4,4
P61803,4,4
P61923,5,5
P61952,2,2
P61960,2,2
P61970,3,3
P61978,19,19
P61981,9,9
P62136,21,21
P62140,4,4
P62166,5,5
P62191,15,15
P62195,15,15
P62249,2,2
P62256,4,4
P62258,13,13
P62263,3,3
P62277,2,2
P62330,7,7
P62333,11,11
P62424,4,4
P62491,12,12
P62495,19,19
P62633,2,0
P62714,15,15
P62805,6,6
P62820,2,2
P62826,7,7
P62834,3,3
P62847,4,4
P62851,3,3
P62873,13,13
P62879,7,7
P62888,3,3
P62906,4,4
P62937,7,7
P62942,3,3
P62993,10,11
P63000,2,2
P63010,22,22
P63092;Q5JWF2,8,8
P63096,3,3
P63098,7,7
P63104,11,11
P63151,5,5
P63167,4,4
P63208,5,5
P63241,10,10
P63244,4,4
P63279,4,4
P63316,6,6
P67812,5,5
P67870,5,5
P67936,10,10
P68032,25,25
P68036,7,7
P68104,21,21
P68363,27,27
P68366,9,9
P68371,26,26
P68402,3,3
P68871,11,11
P69849;Q15155;Q5JPE7,21,21
P69905,9,9
P78318,10,10
P78344,33,34
P78371,27,27
P78417,12,12
P78509,69,69
P78539,19,19
P78559,30,30
P78560,4,4
P79483,3,4
P80108,28,28
P80188,7,7
P80303,18,18
P80404,7,7
P80511,4,4
P80723,7,7
P80748,3,3
P81605,2,2
P82909,3,3
P82979,2,0
P83111,10,10
P84085,10,10
P84095,9,9
P84103,3,3
P84157,3,3
P98066,9,9
P98082,11,11
P98095,22,22
P98160,133,133
P98164,5,5
P98171,16,16
P98172,9,10
P98179,3,3
P98194,21,21
P99999,3,3
Q00013,18,18
Q00059,5,5
Q00325,8,9
Q00341,18,18
Q00535,8,8
Q00537,5,5
Q00577,5,4
Q00610,56,56
Q00688,8,8
Q00722,19,19
Q00765,3,3
Q00796,7,8
Q00839,12,12
Q01082,95,95
Q01085,4,4
Q01105,4,4
Q01433,22,22
Q01469,5,5
Q01518,24,24
Q01543,3,3
Q01658,4,4
Q01813,27,27
Q01970,10,10
Q01995,4,4
Q02108,15,15
Q02153,16,16
Q02218,25,25
Q02252,14,14
Q02487,12,11
Q02809,16,16
Q02818,24,24
Q02878,4,4
Q02952,20,22
Q02978,11,12
Q02985,6,6
Q03154,11,11
Q03167,7,7
Q03252,6,7
Q03518,15,15
Q03519,15,15
Q03591,14,14
Q04206,8,8
Q04323,4,4
Q04446,16,16
Q04637,28,28
Q04721,18,18
Q04756,15,15
Q04759,21,21
Q04760,6,6
Q04771,5,5
Q04837,4,4
Q04917,10,10
Q04941,3,3
Q05193,12,12
Q05209,26,26
Q05397,19,20
Q05655,25,25
Q05682,24,25
Q05707,18,18
Q05823,8,9
Q05940,3,3
