PG.ProteinGroups,HYE mix A,HYE mix B
P0A6Q3,9,9
P0A6Q6,7,7
P0A6R0,10,10
P0A6R3,2,2
P0A6S0,8,8
P0A6S3,3,3
P0A6S7,5,5
P0A6T1,20,20
P0A6T3,10,10
P0A6T5,9,9
P0A6T9,3,3
P0A6U3,6,8
P0A6U5,5,5
P0A6U8,4,6
P0A6V1,3,4
P0A6V8,7,7
P0A6W5,11,12
P0A6W9,10,11
P0A6X3,6,7
P0A6X7,7,7
P0A6Y1,3,3
P0A6Y5,7,8
P0A6Y8,39,40
P0A6Z1,19,19
P0A6Z3,36,38
P0A705,34,34
P0A707,7,7
P0A715,14,14
P0A717,13,14
P0A720,7,7
P0A722,3,3
P0A729,2,3
P0A731,4,4
P0A734,5,5
P0A738,5,6
P0A742,3,3
P0A744,3,3
P0A746,6,6
P0A749,13,13
P0A759,7,8
P0A761,6,6
P0A763,8,8
P0A780,6,6
P0A784,7,7
P0A786,3,7
P0A790,4,4
P0A794,8,9
P0A796,10,11
P0A799,23,23
P0A7A2,6,7
P0A7A5,3,4
P0A7A7,17,19
P0A7A9,10,10
P0A7B5,13,13
P0A7B8,3,3
P0A7C2,5,5
P0A7C6,7,7
P0A7D1,8,8
P0A7D4,24,24
P0A7D7,7,8
P0A7E5,24,25
P0A7E9,5,5
P0A7F3,5,5
P0A7F6,7,7
P0A7F9,4,4
P0A7G2,7,7
P0A7G6,10,11
P0A7I0,6,8
P0A7I4,16,16
P0A7I7,5,5
P0A7J0,7,7
P0A7J3,8,8
P0A7J7,6,6
P0A7K2,7,7
P0A7K6,6,6
P0A7L0,18,19
P0A7L3,4,4
P0A7L8,4,4
P0A7M2,5,5
P0A7M6,2,2
P0A7M9,5,5
P0A7N4,2,2
P0A7P5,2,2
P0A7R1,12,12
P0A7R5,6,6
P0A7R9,4,4
P0A7S3,4,4
P0A7S9,9,9
P0A7T3,5,6
P0A7T7,2,2
P0A7U3,3,4
P0A7U7,3,3
P0A7V0,15,15
P0A7V3,12,12
P0A7V8,12,13
P0A7W1,9,9
P0A7W7,9,9
P0A7X3,7,7
P0A7X6,8,9
P0A7Y0,9,11
P0A7Y4,3,3
P0A7Z0,7,7
P0A7Z4,18,21
P0A800,8,8
P0A805,7,7
P0A812,2,4
P0A817,14,15
P0A825,16,16
P0A830,4,4
P0A836,21,21
P0A847,10,10
P0A850,26,27
P0A853,31,32
P0A855,20,20
P0A858,8,9
P0A862,8,8
P0A867,10,10
P0A870,19,19
P0A873,5,6
P0A877,7,8
P0A879,6,10
P0A881,2,2
P0A884,5,5
P0A887,10,11
P0A890,5,5
P0A894,4,5
P0A8A0,9,9
P0A8A2,6,6
P0A8A4,5,6
P0A8A8,5,5
P0A8B2,2,2
P0A8B5,8,8
P0A8D0,5,7
P0A8D3,2,4
P0A8E1,5,7
P0A8E7,9,9
P0A8F0,10,10
P0A8F4,9,10
P0A8F8,8,9
P0A8G3,14,16
P0A8G6,7,7
P0A8G9,4,4
P0A8H6,7,7
P0A8H8,5,5
P0A8I3,7,9
P0A8I5,6,6
P0A8I8,3,5
P0A8J4,4,4
P0A8J8,11,12
P0A8K1,8,9
P0A8K5,2,2
P0A8L1,26,26
P0A8M0,19,19
P0A8M3,22,23
P0A8M6,6,6
P0A8N0,3,3
P0A8N3,31,31
P0A8N5,19,19
P0A8P3,9,9
P0A8Q0,2,2
P0A8R0,4,5
P0A8S1,6,7
P0A8S9,3,5
P0A8T1,6,7
P0A8T7,70,71
P0A8U6,3,3
P0A8V2,68,68
P0A8V6,7,7
P0A8W0,5,5
P0A8W2,4,4
P0A8W5,2,3
P0A8W8,8,8
P0A8X0,9,9
P0A8X2,4,4
P0A8Y3,4,5
P0A8Y5,8,8
P0A8Z0,3,3
P0A903,17,17
P0A905,4,4
P0A908,7,8
P0A910,17,17
P0A912,9,9
P0A917,6,6
P0A921,4,6
P0A927,7,7
P0A935,6,6
P0A940,33,33
P0A951,5,5
P0A953,14,14
P0A955,10,11
P0A959,6,6
P0A962,5,6
P0A964,8,8
P0A968,3,3
P0A972,5,5
P0A988,6,8
P0A991,9,9
P0A993,8,8
P0A998,7,7
P0A9A6,23,23
P0A9A9,5,5
P0A9B2,17,17
P0A9B6,4,4
P0A9C0,9,11
P0A9C3,13,13
P0A9C5,20,22
P0A9C9,5,7
P0A9D2,7,8
P0A9D4,6,6
P0A9D8,13,13
P0A9E5,5,5
P0A9F1,3,4
P0A9F3,7,8
P0A9G6,14,14
P0A9H1,5,6
P0A9H3,6,9
P0A9H5,3,3
P0A9H7,7,10
P0A9H9,13,13
P0A9J6,8,8
P0A9J8,3,3
P0A9K3,13,14
P0A9K7,2,2
P0A9K9,6,6
P0A9L3,8,8
P0A9L5,3,3
P0A9L8,6,6
P0A9M0,40,41
P0A9M2,10,10
P0A9M5,6,6
P0A9M8,22,23
P0A9N4,6,6
P0A9P0,20,20
P0A9P4,14,14
P0A9P6,23,23
P0A9Q1,11,11
P0A9Q5,15,15
P0A9Q7,44,44
P0A9Q9,11,11
P0A9R4,6,6
P0A9R7,5,5
P0A9S1,5,7
P0A9T0,7,7
P0A9T4,3,3
P0A9U3,12,13
P0A9V1,10,10
P0A9W3,31,31
P0A9W6,2,2
P0A9W9,7,7
P0A9X4,12,12
P0A9X9,4,4
P0A9Z1,4,4
P0AA04,4,4
P0AA10,8,8
P0AA16,13,14
P0AA25,5,5
P0AA31,5,5
P0AA39,6,7
P0AA43,6,7
P0AA91,4,5
P0AA97,2,2
P0AAB4,9,10
P0AAB6,15,15
P0AAC0,9,9
P0AAC8,5,5
P0AAD6,7,8
P0AAE0,2,2
P0AAF6,2,2
P0AAG0,8,11
P0AAG3,2,3
P0AAG8,23,24
P0AAH0,3,7
P0AAI3,31,31
P0AAI5,14,14
P0AAI9,12,12
P0AAJ5,10,10
P0AAP3,4,4
P0AAQ2,2,3
P0AAR3,4,6
P0AAR8,2,3
P0AAS0,4,4
P0AAS7,2,2
P0AAS9,2,2
P0AAT6,4,4
P0AAT9,5,6
P0AAU7,3,3
P0AAX8,9,9
