PG.ProteinGroups,HYE mix A/HYE mix B|signal_log2_ratio,HYE mix A/HYE mix B|raw_p_value,HYE mix A/HYE mix B|adjusted_p_value
O14713,-0.026074547615746207,0.9763800026045035,1
O14732,-0.45928174317881687,0.8454351459926217,1
O14733,-0.5931276254358262,0.11052012211996692,0.2614043267510172
O14734,0.09024803533662987,0.8727908534892121,1
O14735,-0.11751190943421759,0.5066420942931433,0.8864790989498974
O14737,-0.04952357739884731,0.7865228332828123,1
O14744,-0.03145085182703977,0.9924713973405341,1
O14745,0.06095156386598945,0.7041672853990634,1
O14757,0.2245606448604693,0.17770057539049453,0.39415148295068136
O14773,0.048592683516904635,0.9438140510373844,1
O14776,0.0484045277397161,0.9490759440562186,1
O14777,-0.039377870264671,0.9985761442474075,1
O14786,0.23233541983010536,0.6547765962815238,1
O14787,0.26416614979955416,0.01140144229899618,0.03228202567560106
O14795,-0.07189193399605663,0.6888533030984635,1
O14802,0.13020978597735977,0.5057601515200719,0.8855370733505725
O14818,0.02953785266457443,0.9937648766106886,1
O14828,-0.01188386705999667,0.9999537373229577,1
O14874,-0.1290848070307568,0.9999999983526056,1
O14880,0.08019476713517368,0.7705509674559872,1
O14893,-0.014218236867375495,0.9894443603816698,1
O14907,-0.0388151534779434,0.7504901189907314,1
O14908,0.012095879899934544,0.9996643991004885,1
O14920,0.07125236684986024,0.9901684299153735,1
O14925;Q5SRD1,0.12848661657375568,0.5266032741712523,0.9093948720842788
O14929,-0.05781798330655089,0.6502028714677884,1
O14936,-0.042406526333792834,0.9817167613210904,1
O14949,0.018465388751701117,0.9751623568755463,1
O14950;P19105,0.03139041332248761,0.8719162823267239,1
O14964,0.022090420303900408,0.9998561959836845,1
O14965,-0.11255339127075843,0.9838978827170306,1
O14966,0.19749503278252395,0.48717857865665587,0.8636896295332189
O14967,-0.29030389548761304,0.576008159689403,0.9650497363976556
O14972,-0.1044633169756923,0.983671326543228,1
O14974,0.08020438119276485,0.4087377951928135,0.762678713304483
O14975,-0.04058766908537188,0.9652950100612698,1
O14976,0.11123732798384585,0.48735308984775455,0.8638066252568692
O14979,-0.06233390976024903,0.7650304148747639,1
O14980,0.009775821616825525,0.9999999999708746,1
O14981,-0.06534942943385925,0.9257725014958742,1
O15013,0.016656994022755327,0.9997751679897662,1
O15014,0.12081901891091477,0.4563838058065259,0.8247650084388395
O15020,0.024838450470593944,1,1
O15027,0.05635897352445353,0.9993820801932858,1
O15031,-0.1821795920588718,0.15521712194046258,0.35020450756326255
O15042,0.0645505351522485,0.5071937883622052,0.8871551007196127
O15047,0.014851231379166581,0.9971791292859059,1
O15056,0.06714442164077294,0.9877136507821906,1
O15061,-0.01561093568947791,0.9999998039608926,1
O15066,0.1085394452572287,0.38659596386965567,0.7305091192613621
O15067,-0.020196640321948185,0.9999996006620769,1
O15084,0.15074296695628647,0.5490097243155497,0.933664556518251
O15085,0.09945355587652704,0.8066689563713637,1
O15091,-0.08912894447961163,0.8290670701438796,1
O15111,-0.18070262041847718,0.3515298023317519,0.6807916096051309
O15116,0.06250726058449088,0.7528241211043001,1
O15118,-0.0447887717004916,0.8190422467021321,1
O15121,-0.1330532810358109,0.16741598816495742,0.3736566075287351
O15126,0.011489922505597813,0.9879973561494666,1
O15127,0.08865359689169407,0.41164380537413814,0.7659701188607381
O15143,0.014718138093004372,0.9945688757663311,1
O15144,-0.019239916694979587,0.9959902292515876,1
