R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
HYE mix A,99018,0.75,peptide level,0.9399223518467541
HYE mix B,100756,0.75,peptide level,0.9564202113016982
HYE mix A,10434,0.75,protein level,0.9723231758456807
HYE mix B,10479,0.75,protein level,0.9765166340508806
HYE mix A,99196,0.76,peptide level,0.9416120060371914
HYE mix B,100882,0.76,peptide level,0.9576162586499853
HYE mix A,10443,0.76,protein level,0.9731618674867207
HYE mix B,10490,0.76,protein level,0.9775417016121517
HYE mix A,99340,0.77,peptide level,0.9429789172923766
HYE mix B,100993,0.77,peptide level,0.9586699194091906
HYE mix A,10449,0.77,protein level,0.9737209952474141
HYE mix B,10499,0.77,protein level,0.9783803932531917
HYE mix A,99485,0.78,peptide level,0.944355320986834
HYE mix B,101108,0.78,peptide level,0.9597615499254843
HYE mix A,10455,0.78,protein level,0.9742801230081074
HYE mix B,10507,0.78,protein level,0.9791258969341161
HYE mix A,99637,0.79,peptide level,0.9457981717561962
HYE mix B,101208,0.79,peptide level,0.9607107938526963
HYE mix A,10465,0.79,protein level,0.9752120026092629
HYE mix B,10514,0.79,protein level,0.9797782126549249
HYE mix A,99764,0.8,peptide level,0.9470037115437554
HYE mix B,101312,0.8,peptide level,0.9616980075369967
HYE mix A,10469,0.8,protein level,0.9755847544497251
HYE mix B,10518,0.8,protein level,0.9801509644953872
HYE mix A,99899,0.81,peptide level,0.9482851908454916
HYE mix B,101397,0.81,peptide level,0.962504864875127
HYE mix A,10477,0.81,protein level,0.9763302581306496
HYE mix B,10526,0.81,protein level,0.9808964681763116
HYE mix A,100039,0.82,peptide level,0.9496141323435884
HYE mix B,101503,0.82,peptide level,0.9635110634379717
HYE mix A,10483,0.82,protein level,0.9768893858913429
HYE mix B,10529,0.82,protein level,0.9811760320566583
HYE mix A,100180,0.83,peptide level,0.9509525662809573
HYE mix B,101591,0.83,peptide level,0.9643463980939182
HYE mix A,10489,0.83,protein level,0.9774485136520361
HYE mix B,10536,0.83,protein level,0.9818283477774672
HYE mix A,100300,0.84,peptide level,0.9520916589936116
HYE mix B,101691,0.84,peptide level,0.9652956420211302
HYE mix A,10496,0.84,protein level,0.978100829372845
HYE mix B,10540,0.84,protein level,0.9822010996179293
HYE mix A,100409,0.85,peptide level,0.9531263348742727
HYE mix B,101770,0.85,peptide level,0.9660455447236276
HYE mix A,10503,0.85,protein level,0.9787531450936539
HYE mix B,10546,0.85,protein level,0.9827602273786227
HYE mix A,100528,0.86,peptide level,0.9542559351476549
HYE mix B,101838,0.86,peptide level,0.9666910305941318
HYE mix A,10509,0.86,protein level,0.9793122728543472
HYE mix B,10549,0.86,protein level,0.9830397912589693
HYE mix A,100639,0.87,peptide level,0.9553095959068602
HYE mix B,101900,0.87,peptide level,0.9672795618290032
HYE mix A,10512,0.87,protein level,0.9795918367346939
HYE mix B,10552,0.87,protein level,0.983319355139316
HYE mix A,100742,0.88,peptide level,0.9562873171518885
HYE mix B,101988,0.88,peptide level,0.9681148964849497
HYE mix A,10514,0.88,protein level,0.9797782126549249
HYE mix B,10556,0.88,protein level,0.9836921069797782
HYE mix A,100839,0.89,peptide level,0.9572080837612842
HYE mix B,102064,0.89,peptide level,0.9688363218696309
HYE mix A,10519,0.89,protein level,0.9802441524555028
HYE mix B,10560,0.89,protein level,0.9840648588202404
HYE mix A,100930,0.9,peptide level,0.958071895735047
HYE mix B,102137,0.9,peptide level,0.9695292699364956
HYE mix A,10521,0.9,protein level,0.9804305283757339
HYE mix B,10564,0.9,protein level,0.9844376106607027
HYE mix A,101023,0.91,peptide level,0.9589546925873542
HYE mix B,102199,0.91,peptide level,0.970117801171367
HYE mix A,10523,0.91,protein level,0.9806169042959649
HYE mix B,10567,0.91,protein level,0.9847171745410493
HYE mix A,101121,0.92,peptide level,0.9598849516360219
HYE mix B,102277,0.92,peptide level,0.9708582114345924
HYE mix A,10530,0.92,protein level,0.9812692200167739
HYE mix B,10571,0.92,protein level,0.9850899263815115
HYE mix A,101209,0.93,peptide level,0.9607202862919685
HYE mix B,102360,0.93,peptide level,0.9716460838941783
HYE mix A,10536,0.93,protein level,0.9818283477774672
HYE mix B,10575,0.93,protein level,0.9854626782219738
HYE mix A,101299,0.94,peptide level,0.9615746058264593
HYE mix B,102441,0.94,peptide level,0.9724149714752199
HYE mix A,10540,0.94,protein level,0.9822010996179293
HYE mix B,10579,0.94,protein level,0.9858354300624359
HYE mix A,101377,0.95,peptide level,0.9623150160896846
HYE mix B,102509,0.95,peptide level,0.9730604573457241
HYE mix A,10542,0.95,protein level,0.9823874755381604
HYE mix B,10583,0.95,protein level,0.9862081819028982
HYE mix A,101446,0.96,peptide level,0.9629699943994608
HYE mix B,102578,0.96,peptide level,0.9737154356555003
HYE mix A,10548,0.96,protein level,0.9829466032988537
HYE mix B,10587,0.96,protein level,0.9865809337433603
HYE mix A,101516,0.97,peptide level,0.9636344651485093
HYE mix B,102653,0.97,peptide level,0.9744273686009094
HYE mix A,10549,0.97,protein level,0.9830397912589693
HYE mix B,10590,0.97,protein level,0.986860497623707
HYE mix A,101602,0.98,peptide level,0.9644508149259116
HYE mix B,102701,0.98,peptide level,0.9748830056859711
HYE mix A,10553,0.98,protein level,0.9834125430994316
HYE mix B,10592,0.98,protein level,0.9870468735439382
HYE mix A,101681,0.99,peptide level,0.965200717628409
HYE mix B,102749,0.99,peptide level,0.9753386427710329
HYE mix A,10557,0.99,protein level,0.9837852949398938
HYE mix B,10598,0.99,protein level,0.9876060013046314
HYE mix A,101762,1,peptide level,0.9659696052094506
HYE mix B,102800,1,peptide level,0.975822757173911
HYE mix A,10560,1,protein level,0.9840648588202404
HYE mix B,10601,1,protein level,0.987885565184978
HYE mix A,105347,2,peptide level,1
HYE mix B,105347,2,peptide level,1
HYE mix A,10731,2,protein level,1
HYE mix B,10731,2,protein level,1
