PG.ProteinGroups,20230224_Exp...S_OT2_MixA_TR1,20230224_Exp...S_OT2_MixA_TR2,20230224_Exp...S_OT2_MixA_TR3,20230224_Exp...S_OT2_MixA_TR4,20230224_Exp...S_OT2_MixB_TR1,20230224_Exp...S_OT2_MixB_TR2,20230224_Exp...S_OT2_MixB_TR3,20230224_Exp...S_OT2_MixB_TR4
Q15434,17359.938361167686,17129.523541812203,17790.8836854117,15184.73212648346,17218.202234800996,16447.130250229173,15923.937735647261,16859.67702162006
Q15435,23710.005004482788,22531.17015198496,23917.853824048805,24508.85654790796,23872.9333401602,23336.441363826507,23096.114627475825,21915.923029786296
Q15436,40867.42690366595,39112.537754692734,40483.924949180204,40306.47064529228,40785.174444611606,41842.851032479935,40745.073264065315,41390.29972141849
Q15437,25719.632054895475,22740.529415612633,24347.28701990501,24739.486172726523,24015.618036596145,23874.803026704867,23396.809347246,22731.447781131235
Q15438,8860.870584578584,8722.256086708463,8815.83813585295,10167.541007991522,9725.290043215933,9594.202820036724,9738.924760782025,9491.507388565624
Q15459,74857.06918484533,71007.76945061305,73931.31200426813,75143.67935261427,71255.80762971492,70158.21921575814,69648.30655223933,70440.36952059937
Q15464,1166.5674489424784,1549.0957966768842,1441.1285154727327,1472.7410787671733,1166.3364449477262,1442.3623865694872,971.9213938896477,1334.0956011772628
Q15477,16430.875697953485,16326.40194757162,16200.777915657856,16851.52991198318,17199.860148931715,16321.169620951705,16287.00018511429,17115.586335513104
Q15526,35061.60949413485,34960.993177504344,32786.431778960185,36983.33075700199,36798.95858162611,34839.68259186947,36307.429676924185,36962.23159541145
Q15527,8007.025250246884,8576.733907255137,8569.240673238,8466.993866943341,9109.760861713363,7164.7509264204145,8243.933447093594,7037.781329975022
Q15528,12175.704128379695,14498.769357996951,13621.358959870771,15675.21385748555,15764.52480162598,13317.56186787672,15188.413753099607,15665.039744510796
Q15532,10482.042476918003,10987.046404894416,11774.086075029045,8927.1121947838,12077.739321661078,9963.343229407563,11521.654259554405,11548.489442221637
Q15542,9327.201600602762,9577.835232715932,9506.072779753365,8950.679822963159,7544.370485884372,8088.125915435601,8098.477308675612,8513.08223971424
Q15545,9977.451682857454,9454.497612678988,8993.318935976173,9480.93078368403,9901.81254194418,8992.662879453268,9543.369526388153,9877.278810868387
Q15554,4722.002196948835,5087.494193730587,5066.646065743991,5495.81589000215,4720.446853226586,5753.946653832146,5637.125665542185,4274.037739815673
Q15555,37114.689920223725,34438.15921246579,41112.28196439785,40919.084835250054,35226.09368947455,34234.59762002222,35964.14446074891,35824.6857956665
Q15582,61375.44590720676,64242.800186069224,62451.24591127216,63797.96224975627,64887.12740713058,64094.783288305494,62010.301826096445,64409.46315917518
Q15583;Q9GZN2,9311.002232096473,10088.562808428169,11758.84458156291,10170.769729071404,7497.923547437291,10238.848774393951,8642.166678153155,10241.285957972368
Q15599,12293.08919454851,12072.889976384335,12339.127795851236,11458.980852997001,10578.80556653701,12604.994940820978,11502.674665312243,11267.620755761522
Q155Q3,4284.899423860454,6028.617034301971,5423.49342370392,4289.2112807804315,3891.1402842616294,4759.4175439817,4109.719699138818,4782.596729876124
Q15628,9606.667621168472,12197.437050766022,9155.251502363182,6898.366048650507,9160.899720797686,11127.848409447404,10887.424460165943,11246.897846918124
Q15629,34933.355711772456,34594.82118285146,35046.9505124437,35017.589408185355,34857.231620738865,35414.33517350199,33758.629332475844,34373.04850808289
Q15631,48351.14733859773,48644.31868771127,48049.54613010696,52032.01650654872,49097.221381250325,47993.560364965706,47261.229635987685,47545.77647545915
Q15633,19706.96568838407,23171.06186388301,18553.701847174667,21939.384888440494,19950.149909886317,18547.420395320805,22168.55727267662,17590.027546705005
Q15637,93319.65138216365,83654.73287207552,90605.24410392328,91107.41724689442,89270.40900656299,85976.6071622727,88764.18386030848,81815.30704488805
Q15642,16186.003035845646,15982.726274734101,15510.506497627137,15941.06104649775,14489.562872424865,15001.90853315673,15425.130175998313,15180.641464722336
Q15643,7450.687143505372,7841.528066916708,7973.425142639243,8322.091033264418,6685.478547404828,7040.969961441589,6923.846522852777,6508.910223432442
Q15645,72087.55247741823,70471.97960476259,72515.53255129688,72893.37935013529,71097.59631144916,69167.92659606521,70679.28111006593,69873.88916166217
Q15648,6601.202973359005,5712.514200002254,6752.010567102637,5862.218602564447,6126.659121386567,5635.650506635864,6324.959849127046,6174.23731281019
Q15650,9927.442109321017,10565.681063482352,10922.125142450033,10707.637570642248,10624.008788701483,9994.492402420692,10314.161665724636,10291.948611890793
Q15652,2200.8018607901654,4480.8111239550135,2951.0024853776495,4431.353605968907,4705.3924583556345,5956.026038609011,6355.148467641225,5596.575121843656
Q15653,21057.78832671221,18075.452621927383,18385.50528870731,19326.04544135399,20296.462883786233,18382.11768965376,20559.89612501856,18733.481096236843
Q15654,25812.13050111668,24537.46976915839,27419.943529083528,22574.12097150171,26257.902244482262,25078.649852397466,25498.421245292637,25027.28796681594
Q15691,142750.23532006843,138665.32352242802,142604.581024527,145603.56296891766,139467.6412748068,136399.9210524478,138495.52275298676,136881.8447020017
Q15714,31761.277359823314,29176.154751459846,20174.52231723621,20132.577302956084,26184.309720810106,24510.073197779155,22120.864867820394,32751.3930805025
Q15717,153520.7102979394,143452.3485084391,146587.97120646533,151482.93483682055,145925.11323074735,139284.08234701795,140761.2326523233,141988.43971573174
Q15738,42200.09792406207,37575.68599885775,38000.62059939629,39443.457334508115,40309.27035157905,36828.149051514614,37620.813307289005,38260.887119606785
Q15750,15123.317531208912,14204.527467719832,14957.824616692056,14986.413979825322,13479.256789738381,13899.454139530331,14043.26009575616,12917.921907419164
Q15751,22010.333071297497,21383.244215647643,23032.368439111517,21572.089957261232,20807.856464516317,23425.151044447848,20306.916995711905,19148.221231030024
Q15758,69488.27552358665,70638.81552305643,74555.64867354385,75191.06223302148,64827.15762925295,65995.56235378966,67228.67951110116,69646.95819519288
Q15771,5152.872801895829,5449.02904388961,5550.9913952584275,4824.084974972603,5567.793985910426,5456.042436738473,5675.71979128951,5716.455212137672
Q15773,16755.090623890632,14889.06905565265,15915.36501492709,16610.72708154069,16462.554048851965,15191.788998738857,16057.373149661673,15871.12968550028
Q15785,34920.21242449799,33851.88810064599,34705.1338724836,35199.93652677942,32374.097175111423,31892.692361248057,31884.756397836925,33138.66115261625
Q15796,43650.358789380545,37559.10329915776,36079.60195617588,38079.11136723756,51293.643125872055,47702.489015988234,49942.73262170184,45189.181338977935
Q15800,22269.755261698632,19267.07884318172,22298.904406028898,23319.913376445405,23144.473697738496,24316.58739405135,25207.170559958715,24854.321421744167
Q15811,9734.678863528681,11598.44799694442,11128.852185802589,10806.868359440254,10142.354762136778,10687.096854920806,12180.238490377227,10799.013372368136
Q15813,7573.415837682307,8091.860507409807,8046.161799091375,8130.371726596917,8088.206607303046,8017.3373597497275,7855.582331623799,7729.113658854525
Q15814,15978.915281754811,15466.11250326243,15051.110476861746,14703.718414602476,14908.644571166175,14549.015245333707,14042.620596638892,11552.215325133095
Q15819,50896.01302902369,50169.69514580519,53832.391606453326,50084.92964438686,47247.73921547637,48725.323467241324,50736.22761325619,48645.61083586869
Q15833,7725.159069080176,7861.901959737348,7294.933552476331,7699.071499120237,7638.918592370612,7553.916968619581,8902.31376810472,7770.85797565283
Q15836,275947.25370222074,258416.26863099678,283430.98739479407,289284.4094248269,267870.5428227754,254992.50280943097,255076.32295233372,254423.93772298848
Q15843,8781.190382959177,7843.28219772143,7626.731406639506,8740.972560923066,7494.695314310936,8508.863071800133,6891.353374211984,12222.174761705819
Q15847,24973.38969028727,25667.406569947612,26462.801736864614,19867.0531314154,26936.561362096065,22788.10780540162,24987.51541743786,26620.57464248009
Q15853,1933.8336410705933,6808.641008004257,2397.522664322431,2666.765733904574,1481.2499954812124,5202.599425711761,7285.575259031668,5801.246038223469
Q15904,26186.84480396539,26609.062815934147,28214.723589361794,27023.885493329886,27931.743587867146,25740.2904510715,27234.817000279112,27831.642365243562
Q15906,17528.637751831873,14237.343875786482,14356.214825732124,16246.280110843876,11838.634993307925,13055.42449393637,12108.406298004758,13365.695884900382
Q15907,73504.7169743549,79086.16448141386,77264.0805970831,81827.02157530602,74456.02704889057,73013.33080501882,76545.51211815448,80393.00671201058
Q15911,2374.410263890894,2466.2333873684047,2356.962749960538,1861.387849919519,3099.259751717946,2598.379912241043,2753.9258303137326,2749.7385264129593
Q15942,126542.39237736724,119811.15722136795,126608.60013888935,122072.91060927624,125962.30008033737,120558.70040855718,124404.28236888918,121307.44236897839
Q16134,15227.493482126212,13354.766142662327,13822.416318489968,15113.022612712839,13578.99491586075,13077.099284019774,11730.037733316614,12835.13611530325
Q16181,65889.41766377188,63792.035625780736,64800.34878492038,67245.81165399941,63650.141032187064,62724.54455760305,63097.35341126579,62970.82944493814
Q16186,51729.900571541984,47581.356426244856,45984.01506799511,51122.02769725818,53258.425533849324,51660.78579315755,51106.09765634822,46772.186130988564
Q16204,35746.28993166892,34690.0424055171,36009.38067585584,37163.964026168156,35208.27513760807,34256.764984991554,34539.615931195316,33633.55846971394
Q16222,26876.446734979534,24818.550319119237,25657.73539337643,25433.930656048396,25403.772903026987,24590.333699393806,24699.230183451764,23564.457807467203
Q16270,14108.67317058162,14225.926104038354,11171.70880996116,6409.216790247357,14245.581767288322,13731.501200817891,14035.13935548818,13937.649732018994
Q16342,5579.476195250886,7003.561715929551,5961.455857134866,5284.154742889552,6325.824676698071,7222.967888999658,8029.339994502593,6307.398514660656
Q16352,7547.1990978717495,8292.942381948107,6760.6669679876895,7419.555790056,7079.558713683748,7777.693047275323,7085.869663192511,7081.170511177525
Q16363,4527.069745309555,5587.0295863868005,6079.8452825054,6036.993097614525,5270.232555747591,6409.150745476937,6345.485648263104,6477.432121314163
Q16401,70717.31688563005,67623.22333516157,68100.57665620135,68732.90855852589,66928.64048389881,65913.49126571025,66869.46587917862,66669.05045252731
Q16512,9062.13711398692,9171.88092100714,9173.197071070355,9546.864278704259,8703.466959999474,8056.166490711585,8229.760361587818,9185.27586503923
Q16513,16710.684996112122,16220.095629498874,16746.76802596714,17502.46300942645,16439.443484942385,16109.172284706252,16388.726704056684,16404.28336768441
Q16514,892.1937970912315,9829.325675592534,10959.73153321362,10742.606563938098,11.518042186055505,9815.561232930888,9447.996500423575,8330.118201423142
Q16527,25068.91456458454,25003.182999215256,25778.558487731378,23275.407089057717,25417.982797272198,25380.695825709743,24488.347788992938,24816.651406491077
Q16531,62213.34799149239,58643.42446167066,60062.55028400842,61776.054078830646,58941.548116730475,57503.671384973655,58589.2768256027,57340.55468038922
Q16537,29490.870610619346,27235.593903613215,29833.50561353742,31315.57962097999,29618.334106495946,26695.155633077975,27216.184921911557,27317.659122819205
Q16539,21458.319979027438,20431.113186560855,21373.31193687571,23197.71408444582,22377.827108294856,21204.246138506012,20567.269893835568,21399.228889815648
Q16540,22442.884947119288,23775.614955110876,24439.40742437139,23770.14512507013,24504.554449801082,23265.025232300002,24342.528694082223,24292.053580846812
Q16543,108193.85610115959,96679.84864746733,105775.22327387858,110194.74880548456,104943.41566832425,104560.10213485113,104241.60146738136,97559.90356072348
Q16555,97880.91135973434,94043.09177883387,95542.4933594339,95378.07681374009,96061.697324091685,92259.01670075166,92576.89193460591,93468.65324193197
Q16563,18507.982302389086,23874.19684606053,11011.368450721557,3948.694586735132,23213.70213105838,19774.335032893465,17391.545361681492,23345.06325216154
Q16566,31.177026445801676,7063.636769528174,20.98971520318635,51.00865947891777,1.389799763304524,5886.565873709523,14.152549679584325,33.05913411980987
Q16576,102883.40926543636,99517.49494026767,100830.35840607785,104584.74858852552,103829.21312376697,101685.93792446851,102686.88231923565,97357.71498184059
Q16594,8395.768712759686,7754.32077720011,8645.839738477318,7116.846929636491,7835.594103837511,7854.217137692896,7306.969347860188,10216.408313787337
Q16595,23430.049711786756,20910.38723328488,23784.476845019686,23392.032853584373,20512.667809681592,20893.703695969332,19915.765397235107,19370.796724492422
Q16611,17257.74531620187,18952.717581383287,15687.909638250943,15735.154234296626,17810.118609266177,17479.664411056096,19140.404413902717,12882.167633652758
Q16626,21113.998429120278,17426.155901865517,19251.12409567969,18873.623038289195,19322.486029291318,21549.222918826403,21402.210151725565,19654.552092607722
Q16629,174153.6034680946,179640.7420621547,179985.18564429012,184143.51559870932,168769.58854667438,169033.8624607534,169209.96289061016,166219.85887058685
Q16630,30864.330035777697,30787.70274705467,33030.50674168755,33726.90269838552,31570.627751246484,31068.079343716716,31169.844586077976,30030.183979520352
Q16637,5440.502292536006,4963.059616249377,5797.765106632284,5635.85273752394,5990.501047473133,5694.990117527919,5519.007041857322,4889.897002648715
Q16643,41455.286147968785,40274.06868020107,40876.06135435617,41984.386693553424,40101.077187336654,41101.07648849108,40338.14041019392,39136.554943425064
Q16644,35507.70703507179,36415.652045392555,35511.700048987776,34854.18326812078,31337.539673930958,32227.42616558598,29939.12599757094,31224.891728045364
Q16656,10877.100118240973,10909.663240691487,10934.553822854363,10914.50107669315,9798.0919555022665,10806.043598762897,10612.865897664897,11029.206578635341
Q16658,129904.73300922808,129921.10952890637,127834.24783948173,132617.0151963592,128719.66170813006,127603.09067213943,127774.28408216499,123457.74792718813
Q16666,18891.149157252647,18209.030079503227,17589.160592432836,17820.131855985073,17293.270827126995,18243.08603839903,17620.157473695446,17437.933266859287
Q16698,27589.912734516514,26543.078334091755,27371.414984108844,26583.143235116248,28339.086818724958,27479.869317621626,28096.76993962407,26498.71430562914
Q16706,9164.537040463116,8601.93128940747,9204.330769857468,8758.708206214655,10275.574352514552,10172.456742153385,10154.865869274894,10526.113692500343
Q16718,47196.29648750618,45803.99910120356,49615.84768486199,45879.53747652781,46871.267288574396,40729.229046707806,41507.2522873889,42158.59625248552
Q16719,52377.057392494564,52509.35770027278,53014.724628206925,52847.59828074458,57000.29097856897,53580.96956263372,55574.625643137086,58289.92733237325
Q16740,54452.14877396863,54556.45503445705,56351.62814166866,56317.547475160405,55136.50136888857,53816.195718219715,53473.927287474326,52480.82503825328
Q16762,19842.146994756666,20121.928582710658,21256.893369009693,19823.381445813928,21976.366588219254,19114.04737383612,20612.963160214476,18426.157213599017
Q16763,31309.45413622405,31556.69071663671,29934.888336060383,31404.37379333587,32127.719358221206,32642.53326240019,33398.805528005054,33805.34963645081
Q16773,12064.098449835368,8879.53224753407,12497.020906069845,9343.014479968773,9389.2598266789,8546.243206466375,7213.6244116029875,9022.782778016233
