PG.ProteinGroups,cancer/control|signal_log2_ratio,cancer/control|raw_p_value,cancer/control|adjusted_p_value
Q92499,-0.033806256008581975,0.9999780315103017,1
Q92506,0.005290036101046234,0.9993853178928617,1
Q92520,0.4765961688491915,5.85278581770172e-4,0.004461951078840603
Q92522,0.6059844886631074,0.07216390618464749,0.23863033015159854
Q92530,0.03438364119692834,0.9548012378079996,1
Q92538,-0.07894876863293981,0.9638435863396337,1
Q92539,0.03616765425466214,0.9997850141411425,1
Q92540,-0.1874109486681377,0.4951598276771086,0.9356490119198361
Q92542,-0.09285973933347873,0.9223907867589393,1
Q92544,0.009718428129511724,0.9999494474518735,1
Q92552,-0.09995617695261932,0.8003443720371994,1
Q92556,-0.17339889119488056,0.5974105551027711,1
Q92558,0.06654495940195541,0.9399491879609037,1
Q92563,0.17256422722131204,0.5222276420327989,0.9641589073123823
Q92572,-0.09025173443505034,0.7881384102357728,1
Q92575,0.2719677075420969,0.2917663744451236,0.6635340948197695
Q92598,0.15065046250154962,0.6933851637028907,1
Q92600,-0.1461553368918017,0.5761578820134842,1
Q92604,-0.15971963831910993,0.6925620132733732,1
Q92608,0.030955631494439254,0.9997551346646054,1
Q92609,-0.01973587546093506,0.9999650632817771,1
Q92614,-0.118487686204331,0.9776861345286456,1
Q92616,0.10848311760297946,0.9682071807270258,1
Q92619,-0.3300063578170451,9.093793042019818e-4,0.006495787772604616
Q92625,0.24494705124650984,0.09296800387255476,0.2928736590816094
Q92626,0.22004301116843453,0.20363627457683933,0.5193715932485933
Q92673,0.25420577903388564,0.04733161416662695,0.17197700017388806
Q92688,0.7385093302960007,5.313578703339013e-5,5.098360527025282e-4
Q92692,-0.1877216834081121,0.7074739435521096,1
Q92696,-0.07861441955660006,0.9615942513823929,1
Q92734,-0.3306213690762646,0.027538457703969246,0.11210558558518743
Q92743,0.6411609953567734,2.9211424707010373e-8,5.279461370538555e-7
Q92747,-0.009903483293422239,0.9999590175526536,1
Q92783,-0.07712975459263198,0.9261179618441164,1
Q92804,0.43700444913109016,0.06420392229638786,0.21734665400881722
Q92820,0.04277304284369622,0.9738781855870474,1
Q92824,0.13271387704277246,0.689788616176572,1
Q92835,0.00708231644103409,0.9999999999896183,1
Q92841,0.44498647783810974,0.005498768768964849,0.02998223335275632
Q92882,-0.10471573217553365,0.8625715343253101,1
Q92888,0.07218054561601131,0.9792560789799172,1
Q92890,0.24713560295571316,0.21289775655438356,0.5335099286654473
Q92900,-0.03574930749210961,0.9999960962193309,1
Q92902,-0.1304827950076023,0.5695825712617385,1
Q92905,-0.3162595588960525,0.0040723674908237015,0.023106139227366415
Q92930,-0.5925183553893933,0.0032616159492810225,0.019316321575332383
Q92947,0.3248693204177102,0.011818813722006412,0.0564422391074862
Q92954,0.25240790681658715,0.01860387686680008,0.08219816196258456
Q92963,-0.8566483817193568,0.0030382346266704992,0.018121362431905267
Q92973,-0.12659838916286625,0.8234313110324492,1
Q92974,0.010172705469848687,0.9999999999949036,1
Q93008,-0.06498770843490621,0.9999999286586444,1
Q93009,-0.03018772868981169,0.9996937134785746,1
Q93034,-0.10310931301850217,0.864632859030301,1
Q93050,-0.17863409132312852,0.46484636237603255,0.9015693925952957
Q93052,-0.286933511527516,0.0827118809903236,0.2663678317914185
Q93084,-0.7469667372896671,9.154165071366921e-18,7.38142579696952e-16
Q93091,0.3655217852465507,0.05112127159410512,0.18273784466673723
Q93099,0.07452998739271335,0.9543055106880598,1
Q969E2,0.2747176099350132,0.27443525808508773,0.6368052225516175
Q969K3,-0.11170828249649706,0.7199768556200896,1
Q969M3,-0.2880204148749911,0.898540867463373,1
Q969M7,-0.02252975152637298,0.98869143528764,1
Q969S0,-0.22135002446130447,0.7642474059487067,1
Q969T3,0.2731216978102541,0.23210607037403277,0.5661551792194994
Q969T9,-0.3840240995873598,0.05085129844493257,0.18208319902310022
Q969V3,0.121557491902467,0.963988463430028,1
Q969X0,-0.31943782560653694,0.3630591003771208,0.7645940772884317
Q969X1,-0.06755259233364594,0.8274004303224467,1
Q969X5,-0.30048650848111624,0.14978479093997513,0.4190796837840516
Q969Z0,0.12429426145154177,0.6655757445204497,1
Q96A00,-0.3681647148069066,0.16570962319110447,0.44827125809051677
Q96A26,-0.11023515598084621,0.8856908745926507,1
Q96A32,0.1129380009060114,0.9568083188155578,1
Q96A33,0.12883308042688885,0.6898547436530592,1
Q96A49,0.037524864780709155,0.9981416906480833,1
Q96A65,-0.20575876556924616,0.23066744024662056,0.5646167991559137
Q96AA3,0.10070733513255221,0.7617219785922016,1
Q96AB3,-0.18985355618895522,0.33307414761201315,0.7195156625127105
Q96AC1,0.09328839674462275,0.9604334357370734,1
Q96AG4,-0.36125088749734174,0.03415693413182715,0.13410114683029145
Q96AP7,-0.37191857929605165,0.23114621685227632,0.5651289138551572
Q96AQ6,0.1941354926277269,0.4015316417846524,0.8200816603984062
Q96AT9,-0.060440541346037976,0.9705004962212196,1
Q96AX1,0.14226709458920886,0.6116118356431735,1
Q96AX2,-0.3386139187461486,0.09686425933166423,0.3018292023713623
Q96B36,0.3024458142820905,0.2850266061642471,0.6527124847879235
Q96B45,-0.18432705633465055,0.37868094171866945,0.7864334762884503
Q96B97,0.12820320790977205,0.7084809980152074,1
Q96BJ3,-0.7747418099068608,7.375402535874948e-4,0.005473462448305072
Q96BN8,0.045636614079800485,0.9791864813774176,1
Q96BS2,-0.40202050246183757,0.01731024850997761,0.07713270138399163
Q96BY6,-0.11872295692820145,0.964499360232933,1
Q96BY7,0.35466511099874715,0.5093818499761941,0.9501307888528993
Q96BZ9,0.2070698683378627,0.6452416186962662,1
Q96C19,0.5619284777832911,4.0888478975141307e-4,0.003253233251285911
Q96C24,-0.7590703723500364,1.4583177478968293e-13,6.176491229223642e-12
Q96C36,0.1676257739567625,0.54999522093087,0.9931653580375271
Q96CG8,0.5166180507970246,0.09415809709530126,0.2951252385293819
Q96CN4,0.05707523910130394,0.9226838988091431,1
Q96CN7,-0.6010189175002574,7.646695992640947e-4,0.005615165726294832
Q96CS3,0.045384237442557214,0.9985208309470706,1
Q96CT7,0.32199585966406785,0.062444855490515976,0.2128709585949053
Q96CV9,-0.14376752156756128,0.7465235594291175,1
Q96CW1,-0.16122340493242712,0.6256683034656272,1
Q96CW5,-0.16474242284120583,0.5469378502109958,0.9901768665518549
Q96CX2,0.0311267122173815,0.9696352061383449,1
Q96D15,0.3648048802055178,0.016372268681731007,0.07397513209320918
Q96D31,-0.34844207883615985,0.07398777151895602,0.243318216454104
Q96D46,0.0293236179797812,0.9809129646763913,1
Q96D71,-0.10471796675637009,0.8216296936114803,1
Q96DH6,0.07310700413352401,0.9218298722548489,1
Q96DM3,0.14048332722860424,0.6184182641936405,1
Q96DR5,-0.26461884914418227,0.2335316376885198,0.5676071219858969
Q96DT0,-0.06590787002537228,0.913125970627451,1
Q96DZ1,0.32304410346870777,0.041067616676332325,0.15443633786893401
Q96DZ9,-0.9225026885793522,7.616735356341122e-4,0.005615165726294832
Q96E17,0.06342578986121639,0.9181368750043116,1
Q96EK6,0.028163000650219247,0.9725938968038723,1
Q96EK7,-0.03472067823089396,0.9716514012649362,1
Q96EP0,-0.057138618170336664,0.966972598568177,1
Q96EP5,0.13788642216310368,0.8199110556548195,1
Q96ER9,0.7815166453314298,0.03931947909121337,0.14974257568524765
Q96EY8,-0.08391517662265922,0.9080393182626247,1
Q96F46,0.0013071772461123621,0.9999993128209762,1
Q96FN4,-0.1787874825186196,0.519916126162987,0.9620513314216259
Q96FQ6,0.6248903976413375,0.6166923223688336,1
Q96FV2,0.492725566494029,0.013062631156923504,0.06140315296074019
Q96FW1,-0.2119255834546383,0.09401462007876261,0.2951252385293819
Q96FZ7,-0.327995399672971,0.06644797351768472,0.22378823530895744
Q96G03,-0.15148493843188926,0.6503909989521488,1
Q96G23,-0.6627331478029406,1.2120136481234535e-4,0.0010789752073421743
Q96G97,-0.06588921096376493,0.9412540114331203,1
Q96GG9,-0.19758059579106127,0.5135860537512198,0.9549739793254388
Q96GK7,0.19803500673323868,0.28925422651528643,0.6599705137110002
Q96GS4,0.1428249587096679,0.5729657743675793,1
Q96GW7,0.013260029168028079,0.9950637327232488,1
Q96H20,0.011652951849616127,0.99869193734865,1
Q96H79,0.23294584046110586,0.37445041720353023,0.7810520722492215
Q96HC4,-0.39790152928781114,3.37583642614342e-4,0.0027431942121742946
Q96HF1,0.36171142209847235,0.7058186113141628,1
Q96HN2,-0.08488618037679625,0.8734193748092361,1
Q96HS1,0.16280752694674513,0.7579131276381262,1
Q96HY6,0.19578751042147144,0.38524952930676276,0.7974158015296492
Q96I24,0.35121378861698604,0.1376889408714483,0.3937543818335306
Q96I82,-0.06208323918332409,0.953672931107898,1
Q96I99,-0.03425851330739449,0.9997216766769697,1
Q96IG2,-0.07925497623659772,0.9587111221144241,1
Q96II8,0.7723370459850769,0.484983631649783,0.9285554189532146
Q96IJ6,0.055300626736842995,0.9944036217051491,1
Q96IU4,0.1760506360484966,0.5284751809777704,0.9714583225952613
Q96IV0,0.25256667602994626,0.580834027055459,1
Q96IX5,-0.2685818875670668,0.3076154618034445,0.6842608123829405
Q96IY4,0.4646430188437096,2.2813420880272067e-5,2.4094880038030424e-4
Q96J02,0.05400607731308618,0.957809929539215,1
Q96J42,0.1935159944942179,0.48303621238517597,0.9256722296759793
Q96JB2,0.4610001798409845,0.01015327306671862,0.05037727720805544
Q96JB5,-0.09409957988038589,0.9700493343446976,1
Q96JC1,0.08573997632379571,0.9677942784803668,1
Q96JF0,0.46530652077802315,0.09638639822626663,0.3010099431197824
Q96JG6,0.013418071847203167,0.9999949584939871,1
Q96JH7,0.18304142540517004,0.4137553107474226,0.8368914703154574
Q96JJ3,0.1553682445793724,0.7503147455809797,1
Q96JJ7,-0.18090666103951034,0.4318195976393856,0.859335345468412
Q96JP9,0.4183292121575529,0.10416194783844081,0.3199641372062874
Q96JQ0,-0.055909380041699486,0.9574011935598569,1
Q96K17,-0.11667875506398974,0.6544071249703236,1
Q96K19,0.08851980558267426,0.784761377017047,1
Q96K21,0.296601062562875,0.5040313391746923,0.9447489517923492
Q96K37,-0.20983161827550617,0.6567619387723902,1
Q96K49,-0.1123555741572127,0.6770800169493016,1
Q96K76,-0.04293922059320734,0.9999999610223197,1
Q96KC8,-0.09002070952920362,0.8355552358278214,1
Q96KG9,0.19972911902819762,0.10620198644446449,0.3243298828562561
Q96KN2,-0.7398501781114948,4.7419468428435044e-18,4.0577516555189413e-16
Q96KP1,-0.012215776251994421,0.9999712188448034,1
Q96KP4,-0.20181204613260884,0.21470668488765812,0.5368307273309186
Q96L46,0.3143299127187188,0.02765339378595015,0.11244920751351516
Q96LJ7,0.03136539037684331,0.9950556335270048,1
Q96M27,-0.11532670761244423,0.7418437145587788,1
Q96M96,-0.16589573038274066,0.5789497611975458,1
Q96MH2,-0.1579639372066281,0.8383700832110909,1
Q96MK2,-0.42239463892985574,3.6976089584168665e-4,0.002970129188245579
Q96MW1,0.142308161439833,0.5902216903554707,1
Q96N66,0.3241620657611055,0.1633150854375922,0.4442867448934014
Q96N67,0.01656323770595062,0.9999999748794788,1
Q96NB2,-0.019014937073957936,0.9948589053157311,1
Q96NC0,0.4827211037671917,0.06548330866196074,0.22071665049807185
Q96NW4,0.10251309745272391,0.7406045919277983,1
Q96NZ9,0.3611440460017091,0.03673762152693873,0.14210410245613847
Q96P48,-0.22725803542005965,0.09135803920594437,0.28845200180009395
Q96P70,-0.2121512527297808,0.15379438351302038,0.42664614305641246
Q96PC5,-0.011119425549659123,0.9999409062661107,1
Q96PD5,-0.06540100876860411,0.9970871346731539,1
Q96PM5,-0.08792038653512746,0.7630204846155002,1
Q96PU8,0.35112660814096375,0.10140051876719153,0.3135489492557773
Q96Q05,-0.13377636221744674,0.8652571609458048,1
Q96Q06,0.10673624162327154,0.9639145447963341,1
Q96Q11,-0.025430904146724668,0.9818208531415056,1
Q96Q42,-0.14488380802485537,0.6056493090835176,1
Q96QG7,-0.11720384120636766,0.8606874523849386,1
Q96QK1,-0.27004570274375217,0.2477213793776228,0.5911077086855168
Q96QR1,0.36774120597561627,0.061409921337599836,0.21054112851067547
Q96QR8,-0.4710677782032655,0.04629779433501173,0.16880578404061233
Q96QS1,-0.31977040177039195,0.2968903974601567,0.6717120487642935
Q96RD7,0.02022394509150973,0.9997929116526252,1
Q96RI0,-0.2488194453849254,0.15706475510978943,0.43289634999458515
Q96RL7,-0.08767981267401032,0.999893002043273,1
Q96RT1,-0.3072585610797278,0.0026449595238668285,0.016119644307519783
Q96S44,-0.14554009845230487,0.7290803115844786,1
Q96S59,0.06019909519845774,0.9527628197621887,1
Q96S66,-0.3206874931127894,0.43029060049264495,0.8575135398601047
Q96S96,0.11665492687208918,0.8501547833745513,1
Q96S97,-0.4074209767320697,0.13961343714771862,0.39715002846701775
Q96SB3,-0.4557561134405928,1.3161943614545977e-5,1.4638734635488403e-4
Q96ST2,0.19097875134991216,0.47118716784057446,0.9117156413269629
Q96SU4,-0.25839463619573594,0.3477729592259574,0.7400163795826866
Q96SW2,0.2715868815878395,0.10998859557070526,0.3329835243523228
Q96T51,-0.2390329881963182,0.014066946015845735,0.06517425927562559
Q96T66,-0.15880751866125536,0.7323359930376452,1
Q96T76,0.32967534168750134,0.07589136114369972,0.24818021856027306
Q96TC7,0.26602519676394765,0.03572713298525736,0.1392229262148551
Q99417,-0.20624024040436714,0.24175935080305055,0.5819155900787548
Q99418,-0.09500842828097221,0.8471682140679798,1
Q99426,-0.41672833640338824,0.03043324016770284,0.12176200002211643
Q99439,-0.6088859180617034,2.4354224486163547e-6,3.0851136939723185e-5
Q99442,-0.017527062966047655,0.9981950244844778,1
Q99460,-0.15193071413601986,0.8046845276283946,1
Q99470,-0.031169592606496405,0.9737936547755597,1
Q99471,-0.32508983901366295,0.0634795206702681,0.216046777735742
Q99490,-0.1390931945465045,0.8684640081769397,1
Q99497,-0.3192757903308329,0.01733548556894082,0.07716315391780133
Q99501,-0.2244533859398486,0.2730908891528405,0.6343878660486761
Q99523,0.3262300228427977,0.004988687038529454,0.02764136350488601
Q99536,-0.1823286355961216,0.33856130834639553,0.7268753537616163
Q99538,0.25009423494839045,0.22669954969741243,0.5588190546039097
Q99542,0.6924167232220684,2.741415842128131e-12,9.824578312857481e-11
Q99543,0.12757543936711072,0.7173755363286828,1
Q99570,-0.10592405492130133,0.8188536565944474,1
Q99574,-0.0551249240877654,0.8981720749781366,1
Q99614,-0.23455805774124522,0.27676919613111683,0.6397426898444172
Q99615,0.018384543211442107,0.9999983652884317,1
Q99623,-0.4777340958977046,1.0159595360082987e-4,9.161114697812466e-4
Q99627,-0.32168221227279475,0.10614568318754145,0.3243298828562561
Q99674,0.4275528692915129,0.01910763490027815,0.08433506645985923
Q99683,-0.10762137068952922,0.7995316156651475,1
Q99685,-0.7535564225070168,7.53469896544671e-9,1.4626385538017618e-7
Q99704,-0.18976028816376478,0.554230119775629,0.9969484737105158
Q99714,-0.334348549230144,0.03852431522904902,0.14738362568923588
