slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute
-0.6350365537313446,-2.639325546674251,0.023870532934131772,6,3.735058152004225e-5,3.7646872190754126e-4,P61088,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.5529770974641866,down,-1.5529770974641866,Cohen's d,-0.10773709685099599,1.0075743978648377,-0.36224505215263275,0.1467708584506408,negligible
-0.743620702515787,-2.5264615842188443,0.01197616766467069,14,1.1980884505326564e-11,3.7771314835213747e-10,P61160,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.6743727095203393,down,-1.6743727095203393,Cohen's d,-0.536179420394508,0.952424264736529,-0.7051431808251012,-0.367215659963915,medium
-0.6034800116106214,-1.7876400050904244,0.11050207784431132,14,1.143052300836714e-4,0.0010219228779122266,P61224,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.5193771309005222,down,-1.5193771309005222,Cohen's d,-0.390890573964094,1.0674057036126559,-0.5584756625964917,-0.22330548533169622,small
-1.1672629244986326,-2.221936361317543,0.008286359281437172,1,0.008286359281437174,0.04257929469003195,P61236,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,2.245852103011861,down,-2.245852103011861,Cohen's d,-0.6315934957400884,2.2069815977162004,-1.2875296296492387,0.024342638169061792,medium
-0.7686795335979564,-2.063928638251749,0.026840658682634744,3,0.002122589729442308,0.01352586433974407,P61604,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.7037097024256866,down,-1.7037097024256866,Cohen's d,-0.4459737354122089,0.7968777885855831,-0.8119870453596879,-0.07996042546472992,small
-0.9020714109974171,-2.200432905043973,0.025270431137724536,2,0.006767803270138256,0.03601192780671283,P61952,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.8687471913451095,down,-1.8687471913451095,Cohen's d,-0.5751178142489859,0.7216828877090967,-1.0293942747446914,-0.12084135375328042,medium
-0.6710362185642337,-2.479728666816018,0.021923341317365286,9,5.927879123926888e-7,8.483138964718581e-6,P61981,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.5922161693174293,down,-1.5922161693174293,Cohen's d,-0.5321112892255767,0.6270430675079087,-0.7430470024013955,-0.3211755760497579,medium
-0.7878423296640116,-2.517250508367163,0.01228098203592809,13,6.776546897251987e-11,1.881725903323019e-9,P62258,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.7264904208598264,down,-1.7264904208598264,Cohen's d,-0.2443732372596961,0.8068629386415536,-0.4173179444459031,-0.0714285300734891,small
0.6467466683097685,2.5566688551645367,0.022780826347305383,1,0.02278082634730538,0.09619335838293198,P62304,cancer,control,cancer/control,rots,median,none,up,1.5,0.05,1.5656336491381566,up,1.5656336491381566,Cohen's d,0.8153765255185038,0.7704975982989115,0.14913710023695226,1.4816159508000553,large
0.783851229496782,3.242504602269273,0.017931293413173677,2,0.004054302617408342,0.023041133698761117,P62633,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,1.7217208239218926,up,1.7217208239218926,Cohen's d,0.8305072465531586,0.7826420802588567,0.36654637342722884,1.2944681196790881,large
1.9894316182679244,5.30238325378531,6.742514970126123e-6,6,1.4824602569339317e-17,1.1099921173792813e-15,P62805,cancer,control,cancer/control,rots,median,up,up,1.5,0.05,3.97080528667022,up,3.97080528667022,Cohen's d,0.5728196359334058,2.2282292108413846,0.3133329475060721,0.8323063243607395,medium
-0.813916507594675,-3.4299134425952342,0.0049958083832335465,2,5.985570457786925e-4,0.004538426207866288,P62820,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.7579773802890786,down,-1.7579773802890786,Cohen's d,-0.9458965693621572,0.5200324172057595,-1.4152976198578386,-0.4764955188664756,large
-0.7595818921572648,-2.9515939551351025,0.008859568862275458,13,7.016698147252803e-12,2.280698862901628e-10,P62873,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.6929999048571243,down,-1.6929999048571243,Cohen's d,-0.6305160876102172,0.6910507013906059,-0.807048175438747,-0.45398399978168735,medium
-0.9005889720886762,-3.3838022676543638,0.0033183233532934064,7,4.209979034910418e-9,8.527749803564919e-8,P62937,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,1.8668279494779534,down,-1.8668279494779534,Cohen's d,-0.3808353170490899,0.7853373756865046,-0.6182433408290429,-0.1434272932691369,small
-1.1393567085306502,-3.4028731032983743,0.0013084790419162218,11,2.3057165972627617e-15,1.2065804937583624e-13,P63104,cancer,control,cancer/control,rots,median,down,down,1.5,0.05,2.202827781368683,down,-2.202827781368683,Cohen's d,-0.9146138254234097,0.6130867337076519,-1.1115606925283252,-0.7176669583184943,large
